"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
NA,"900 N KENWOOD AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-25T00:14:04.000","2015-09-03T00:14:04.000","MADISON-EASTEND","15-00587810","MD","O-PENDNG","2015-07-30T13:29:05.000",NA,"21205",NA,NA,NA
NA,"4420  YORK RD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-05-11T13:19:00.000","2015-06-20T13:19:00.000","GUILFORD","15-00366895","MD","CLOSED","2015-07-29T12:39:23.000",NA,"21212",NA,NA,NA
"Dispatch lighting Inspector","ANNELLEN RD & DOLFIELD AVE, BALTIMORE, M",NA,"STREETL6","TRM-StLighting Inadequate/too bright","2015-08-03T12:40:02.000","2015-09-12T12:40:02.000","ASHBURTON","15-00611298","MD","OPEN","2015-08-04T11:31:31.000","2015-08-04T11:31:00.000",NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-26T17:42:15.000","2015-08-05T17:42:15.000","MORRELL PARK","15-00502311","MD","CLOSED","2015-06-29T11:29:43.000",NA,NA,NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-30T21:23:36.000","2015-09-08T21:23:36.000","MORRELL PARK","15-00605077","MD","CLOSED","2015-07-31T12:05:57.000",NA,NA,NA,NA,NA
NA,"501 N HIGHLAND AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-05-31T12:56:26.000","2015-07-10T12:56:26.000","ELLWOOD PARK/MONUMENT","15-00423987","MD","CLOSED","2015-06-02T12:29:56.000",NA,"21205",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-29T14:47:38.000","2015-08-08T14:47:38.000","MORRELL PARK","15-00507853","MD","CLOSED","2015-06-30T12:45:37.000",NA,NA,NA,NA,NA
NA,"3731  REISTERSTOWN RD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-24T16:54:18.000","2015-09-02T16:54:18.000","PARK CIRCLE","15-00586786","MD","CLOSED","2015-07-27T12:04:37.000",NA,"21215",NA,NA,NA
NA,"500  RAPPOLLA ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-01T16:18:16.000","2015-07-11T16:18:16.000","GREEKTOWN","15-00426855","MD","CLOSED","2015-07-08T18:03:03.000",NA,"21224",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-08-02T14:56:52.000","2015-09-11T14:56:52.000","MORRELL PARK","15-00609944","MD","CLOSED","2015-08-03T12:23:07.000",NA,NA,NA,NA,NA
NA,"227 S BETHEL ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-06-24T13:19:38.000","2015-08-03T13:19:38.000","FELLS POINT","15-00492370","MD","CLOSED","2015-06-26T18:03:02.000",NA,"21231",NA,NA,NA
NA,"1908  HARMAN AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-07-11T11:48:59.000","2015-08-20T11:48:59.000","MORRELL PARK","15-00545319","MD","CLOSED","2015-07-13T12:08:08.000",NA,NA,NA,NA,NA
